date,r,open,high,low,close,volume,rsrs,turnover,money,circulating_cap,MA5,MA10,MA20,MA60,,, ,,,,,,,circulating_market_cap(าฺิช),turn_over(v/c),turn_over(m/cmc),recog,Unnamed: 13,Unnamed: 14,turn_over(v/cc)
,,,,,,,,,,,,,,,,,0.044589815,,,,,,,11167.55,737657.3107,0.098344048,0.018677025,,2007/7/13,0.135420715
,,,,,,,,,,,,,,,,,0.061425704,,,,,,,11624.25,756706.4628,0.102194869,0.084612521,,2007/7/20,0.14459888
,,,,,,,,,,,,,,,,,0.06885449,,,,,,,12640.8301,1212365.231,0.168924989,0.10875448,,2007/7/27,0.251931001
,,,,,,,,,,,,,,,,,0.053342136,,,,,,,13320.89,1152597.492,0.172051515,0.13450963,,2007/8/3,0.251836032
,,,,,,,,,,,,,,,,,-0.027343662,,,,,,,13091.02,1435953.715,0.206286362,0.125869471,,2007/8/10,0.308333621
,,,,,,,,,,,,,,,,,0.138118989,,,,,,,15240.1899,1098490.715,0.166357596,0.024539905,,2007/8/17,0.270682729
,,,,,,,,,,,,,,,,,0.01108716,,,,,,,15642.41,922929.6445,0.151285078,0.106998648,,2007/8/24,0.230165767
,,,,,,,,,,,,,,,,,-0.009213123,,,,,,,15320.2101,928123.5575,0.161041861,0.150737496,,2007/8/31,0.225493652
,,,,,,,,,,,,,,,,,0.01304375,,,,,,,15728.16,1003175.782,0.165930335,0.001771889,,2007/9/7,0.250218122
,,,,,,,,,,,,,,,,,0.007555276,,,,,,,16130.7899,798287.7082,0.139584377,0.003710453,,2007/9/14,0.203918089
,,,,,,,,,,,,,,,,,0.026299262,,,,,,,16795.4798,779986.3151,0.140739477,0.020697575,,2007/9/21,0.204538043
,,,,,,,,,,,,,,,,,0.062977186,,,,,,,19313.412,458584.5732,0.088264986,0.034053236,,2007/9/28,0.138282961
,,,,,,,,,,,,,,,,,-0.018373175,,,,,,,20026.8121,827076.6769,0.143085854,0.090932701,,2007/10/12,0.253622098
,,,,,,,,,,,,,,,,,-0.014368923,,,,,,,21098.724,658496.6228,0.123796599,0.04344692,,2007/10/19,0.197845576
,,,,,,,,,,,,,,,,,0.025549557,,,,,,,21992.6481,449600.9873,0.086365492,-0.032478095,,2007/10/26,0.131540708
,,,,,,,,,,,,,,,,,-0.088834805,,,,,,,21173.836,525103.5476,0.098309393,0.010813514,,2007/11/2,0.141572148
,,,,,,,,,,,,,,,,,-0.001502812,,,,,,,21348.0939,381529.3692,0.073793043,-0.065554938,,2007/11/9,0.099894068
,,,,,,,,,,,,,,,,,-0.041608371,,,,,,,20206.1881,385499.4599,0.074705313,-0.090204116,,2007/11/16,0.093896175
,,,,,,,,,,,,,,,,,-0.02045505,,,,,,,20015.8201,294291.9786,0.058644515,-0.043048653,,2007/11/23,0.071005428
,,,,,,,,,,,,,,,,,0.0622943,,,,,,,21517.18,296648.4874,0.058820387,-0.061212319,,2007/11/30,0.076686036
,,,,,,,,,,,,,,,,,-0.027458102,,,,,,,20684.8319,265069.4348,0.050541502,0.040565017,,2007/12/7,0.063380129
,,,,,,,,,,,,,,,,,0.017991817,,,,,,,21001.7379,350484.0568,0.073522979,0.033125714,,2007/12/14,0.085087345
,,,,,,,,,,,,,,,,,0.035714487,,,,,,,22182.766,283919.7961,0.05561202,-0.009960306,,2007/12/21,0.072551997
,,,,,,,,,,,,,,,,,0.01323237,,,,,,,22210.3754,439806.3438,0.085810469,0.054348873,,2007/12/28,0.111625592
,,,,,,,,,,,,,,,,,0.0464197,,,,,,,24323.3353,299161.3778,0.05925,0.049419444,,2008/1/4,0.083152451
,,,,,,,,,,,,,,,,,-0.063713897,,,,,,,22604.3455,597074.0847,0.124021937,0.060266313,,2008/1/11,0.150069322
,,,,,,,,,,,,,,,,,-0.076353554,,,,,,,20953.9452,545561.9403,0.115314198,-0.020251777,,2008/1/18,0.12711056
,,,,,,,,,,,,,,,,,-0.096895224,,,,,,,19087.2454,636105.7107,0.119103246,-0.135202668,,2008/1/25,0.135003278
,,,,,,,,,,,,,,,,,0.076030277,,,,,,,22285.8852,366190.5653,0.067390618,-0.165850484,,2008/2/1,0.089834044
,,,,,,,,,,,,,,,,,-0.031859216,,,,,,,21504.4353,183532.7385,0.036121925,-0.028231918,,2008/2/5,0.04149122
,,,,,,,,,,,,,,,,,-0.049359109,,,,,,,20164.9852,163555.0171,0.031003759,0.041748796,,2008/2/15,0.0346718
,,,,,,,,,,,,,,,,,0.001268823,,,,,,,21089.6656,400859.7841,0.075676347,-0.079645783,,2008/2/22,0.088874424
,,,,,,,,,,,,,,,,,-0.021608931,,,,,,,22912.3553,291962.5247,0.053547783,-0.048152914,,2008/2/29,0.068501575
