 ,r,open,high,low,close,volume,rsrs,turnover,money,circulating_cap,MA5,MA10,MA20,MA60
2011/1/7,-0.011837773,1994.362,2035.88,1969.322,2006.374,12227772600,1.050701871,-2.74E-05,1.53E+11,98074699,2010.1558,2052.6326,2029.42565,2136.787117
2011/1/14,-0.02864135,2001.395,2026.151,1968.219,1982.623,12182101900,1.047275179,2.14E-05,1.30E+11,98074699,2002.3502,2022.9945,2032.67775,2127.76435
2011/1/21,0.010023169,1968.953,1978.143,1890.756,1925.838,11529138000,1.055999865,-0.000341459,1.21E+11,98074699,1981.0902,2002.5202,2032.51035,2116.81145
2011/1/28,0.012105035,1926.39,1954.918,1899.055,1945.141,11437242200,1.029538049,-0.000162113,1.14E+11,98074699,1967.4684,1993.0898,2033.98515,2109.414767
2011/2/1,0.00395492,1944.739,1972.992,1941.079,1968.687,4005475800,1.012528124,0.000544783,43581601536,98074699,1965.7326,1988.1188,2039.554,2099.107117
2011/2/11,0.027242973,1958.247,1982.39,1932.13,1976.473,6512322500,1.01638714,0.000242582,73440504919,98074699,1959.7524,1984.9541,2045.15695,2090.261733
2011/2/18,-0.011652362,1976.279,2070.944,1976.279,2030.318,17585696000,1.106156379,0.00017459,2.05E+11,98074699,1969.2914,1985.8208,2051.0174,2083.68895
2011/2/25,0.036619557,2019.559,2053.332,1981.186,2006.66,13508048000,1.120300906,0.000110898,1.62E+11,98081854,1985.4558,1983.273,2051.8497,2077.023333
2011/3/4,-0.014917244,2009.085,2083.295,1990.58,2080.143,16609680600,1.087790071,0.00014506,2.03E+11,98180551,2012.4562,1989.9623,2043.13725,2069.12905
2011/3/11,-0.007138699,2092.317,2139.235,2044.003,2049.113,15254228400,1.122524663,0.000137216,2.00E+11,98937176,2028.5414,1997.137,2034.04005,2062.178183
2011/3/18,0.030376729,2045.669,2056.912,1989.646,2034.485,11959581900,0.754798145,-0.00018158,1.52E+11,98937176,2040.1438,1999.9481,2026.29035,2055.622817
2011/3/25,0.014389735,2040.1,2105.183,2022.682,2096.286,11740825200,0.874877658,0.000193994,1.43E+11,98937176,2053.3374,2011.3144,2017.15445,2050.893333
2011/4/1,0.027682274,2105.093,2130.06,2076.545,2126.451,15167387100,0.83361737,0.000294864,1.79E+11,98937238,2077.2956,2031.3757,2016.94795,2048.934283
2011/4/8,0.007216348,2130.077,2187.553,2130.077,2185.316,11493371900,0.847294757,0.000365593,1.35E+11,98937238,2098.3302,2055.3932,2024.2415,2048.362883
2011/4/15,-0.02245119,2191.931,2214.838,2146.072,2201.086,16963273100,0.881864119,0.000204709,1.95E+11,98937238,2128.7248,2078.6331,2033.37595,2046.97455
2011/4/22,-0.017566828,2192.29,2214.52,2134.835,2151.669,12593265700,0.914327407,-0.000120963,1.43E+11,98937238,2152.1616,2096.1527,2040.5534,2044.930283
2011/4/29,-0.036011185,2147.588,2150.801,2084.646,2113.871,11613550900,0.919537771,-0.000337708,1.32E+11,98981095,2155.6786,2104.508,2045.1644,2042.362483
2011/5/6,0.002704456,2111.228,2117.834,2021.985,2037.748,7864370000,0.974078116,-0.000669599,90846556536,99460491,2137.938,2107.6168,2045.4449,2038.416083
2011/5/13,0.004544211,2041.352,2062.903,2012.38,2043.259,6956967800,0.968571668,-0.000477952,86593832696,99541487,2109.5266,2103.9284,2046.94535,2033.9613
2011/5/20,-0.036954628,2036.317,2065.963,2009.564,2052.544,6796551000,0.962316761,0.000106534,84077144220,99720409,2079.8182,2104.2715,2050.70425,2029.95915
2011/5/27,-0.00088127,2047.774,2047.774,1969.742,1976.693,7423850000,0.983417901,-0.000437721,92789349179,99746435,2044.823,2098.4923,2049.2202,2023.2508
2011/6/3,-0.012111693,1974.535,2011.314,1943.97,1974.951,7616073600,0.962385814,-0.000496857,91268088386,100099535,2017.039,2086.3588,2048.8366,2017.07075
2011/6/10,-0.019811064,1968.172,1986.12,1930.338,1951.031,5324131200,0.952938353,-0.000244081,68124318636,100099535,1999.6956,2068.8168,2050.09625,2010.769267
2011/6/17,0.044404901,1936.055,1977.131,1910.994,1912.379,7782573400,0.94366405,-0.00040837,89525586241,100312225,1973.5196,2041.5231,2048.45815,2006.223
2011/6/24,-0.005641622,1910.285,2009.965,1896.982,1997.298,9214731200,0.899140841,0.000258154,1.03E+11,100312225,1962.4704,2021.1443,2049.8887,2003.687083
2011/7/1,0.01445245,1994.991,2007.783,1959.556,1986.03,10078192600,0.908883084,0.000383369,1.13E+11,100321673,1964.3378,2004.5804,2050.36655,2003.784783
2011/7/8,-0.001340624,1996.255,2040.086,1996.255,2014.733,12209801200,0.917398426,7.17E-05,1.43E+11,100321673,1972.2942,1994.6666,2049.5873,2003.7015
2011/7/15,-0.023460859,2006.067,2015.501,1966.466,2012.032,9869152300,0.922548219,0.000133908,1.13E+11,100940600,1984.4944,1992.095,2049.8559,2004.844883
2011/7/22,-0.028814227,2013.463,2014.707,1959.757,1964.828,8320181500,0.928939266,-0.000301795,94412855143,101371951,1994.9842,1984.2519,2044.09015,2004.698317
2011/7/29,-0.030431613,1954.315,1955.191,1885.625,1908.213,9135159700,0.932934501,-0.00057259,98446825328,101371957,1977.1672,1969.8188,2037.04515,2004.9277
2011/8/5,-0.006477337,1905.904,1919.884,1841.013,1850.143,6563256300,0.933995095,-0.000901531,76549014188,101371957,1949.9898,1957.1638,2027.82805,2004.376817
2011/8/12,-0.017341264,1832.662,1849.998,1741.099,1838.159,11774582100,0.891793938,-0.000316066,1.28E+11,101371957,1914.675,1943.4846,2014.9217,2003.831617
2011/8/19,0.038781852,1842.125,1886.235,1792.457,1806.283,8039163900,0.862698729,-0.00030416,86423846778,103145246,1873.5252,1929.0098,1998.9133,2002.0045
2011/8/26,-0.029663162,1808.061,1879.609,1782.973,1876.334,8909988800,0.814670174,0.000240419,91523055511,103145246,1855.8264,1925.4053,1983.4642,2003.067067
2011/9/2,-0.010843225,1856.744,1871.642,1811.267,1820.676,6972902800,0.806519028,0.000117869,71546192736,103145246,1838.319,1907.7431,1964.4437,2002.23995
2011/9/9,-0.008884279,1805.885,1827.474,1770.371,1800.934,5748695200,0.810428123,-0.000721056,58685754549,103151854,1828.4772,1889.2335,1946.90695,2001.601867
2011/9/16,-0.024993641,1775.216,1799.108,1753.558,1784.934,4669832800,0.846391165,-0.000433633,46477421217,103151854,1817.8322,1866.2536,1930.4601,1998.926583
2011/9/23,-0.032077397,1772.293,1814.55,1714.207,1740.322,7592126900,0.832823562,-0.000457272,75987782127,103151854,1804.64,1839.0826,1915.5888,1994.819283
2011/9/30,0.036044588,1724.034,1743.787,1678.424,1684.497,6838543500,0.854277723,-0.000848678,68926408500,103141905,1766.2726,1811.0495,1897.6507,1989.9071
2011/10/14,-0.039603739,1688.411,1751.286,1657.346,1745.214,9243102700,0.853258684,3.14E-05,84754751376,103164125,1751.1802,1794.7496,1882.2842,1986.81615
2011/10/21,0.078133306,1748.079,1770.261,1660.894,1676.097,6921360500,0.844274729,-7.43E-05,65505959045,103164125,1726.2128,1777.345,1867.2544,1981.96675
2011/10/28,0.013668088,1683.71,1827.02,1677.725,1807.056,11755930700,0.796028675,0.000310961,1.11E+11,103164125,1730.6372,1774.2347,1858.85965,1980.124667
2011/11/4,-0.028519644,1802.841,1843.95,1767.073,1831.755,10667410200,0.785595302,0.000900445,1.07E+11,103429393,1748.9238,1776.7819,1852.89585,1978.500817
2011/11/11,-0.033014632,1822.938,1831.179,1773.249,1779.514,7614087000,0.781223841,-0.000207036,73571348587,103428634,1767.9272,1767.0999,1846.2526,1976.231967
2011/11/18,-0.016907025,1795.812,1820.176,1716.698,1720.764,7131444000,0.761234606,-0.000878787,74541792337,103428634,1763.0372,1757.1087,1832.4259,1973.9562
2011/11/25,0.007558207,1722.906,1726.665,1685.902,1691.671,4580761000,0.758739815,-0.001114574,47470960085,103428634,1766.152,1746.1824,1817.70795,1971.07715
2011/12/2,-0.007272697,1698.297,1745.928,1657.631,1704.457,7034823300,0.722998882,-0.000139337,70235292597,103434837,1745.6322,1738.1347,1802.19415,1967.599617
2011/12/9,-0.037269342,1708.957,1716.267,1681.592,1692.061,4888451800,0.688293846,4.88E-06,48250229333,103434837,1717.6934,1733.3086,1786.1956,1962.633733
2011/12/16,-0.006786376,1689.722,1692.534,1594.287,1628.999,5556381200,0.670917831,-0.000824745,51769248022,103512408.2,1687.5904,1727.7588,1769.40415,1952.210517
2011/12/23,-0.000204581,1615.953,1646.732,1584.15,1617.944,6344198200,0.757856744,-0.00071469,55739653596,103512408.2,1667.0264,1715.0318,1754.8907,1941.991967
